年収,健康保険,厚生年金,社保合計,雇用保険,基礎控除,給与所得控除,課税所得,所得税,所得税+復興,住民税,手取り,税合計,税率%,増分%
159.0,9.3108,14.7132,24.024,0.954,48,55,31.0,1.55,1.54745,4.1,128.342,30.657999999999987,19.3,16.71999999999798,
159.5,9.3108,14.7132,24.024,0.9576,48,55,31.5,1.575,1.5669250000000001,4.15,128.7684,30.731599999999986,19.3,14.7199999999998,
160.0,9.3108,14.7132,24.024,0.96,48,55,32.0,1.6,1.5963999999999998,4.2,129.186,30.813999999999993,19.3,16.480000000001382,
160.5,9.3108,14.7132,24.024,0.9624,48,55,32.5,1.625,1.615875,4.25,129.6136,30.88640000000001,19.2,14.480000000003201,
161.0,9.3108,14.7132,24.024,0.966,48,55,33.0,1.65,1.6453499999999999,4.300000000000001,130.03,30.97,19.2,16.71999999999798,
161.5,9.3108,14.7132,24.024,0.9684,48,55,33.5,1.675,1.674825,4.35,130.4476,31.052400000000006,19.2,16.480000000001382,
162.0,9.3108,14.7132,24.024,0.972,48,55,34.0,1.7,1.6943,4.4,130.874,31.126000000000005,19.2,14.7199999999998,
162.5,9.3108,14.7132,24.024,0.9756,48,55,34.5,1.725,1.723775,4.45,131.2904,31.209599999999995,19.2,16.71999999999798,
163.0,9.3108,14.7132,24.024,0.978,48,55.2,34.7,1.735,1.733565,4.470000000000001,131.758,31.24199999999999,19.2,6.479999999999109,
163.5,9.3108,14.7132,24.024,0.9816,48,55.400000000000006,35.0,1.75,1.74325,4.5,132.2144,31.285599999999988,19.1,8.719999999999573,
164.0,9.3108,14.7132,24.024,0.984,48,55.60000000000001,35.3,1.765,1.7629350000000001,4.53,132.662,31.337999999999994,19.1,10.480000000001155,
164.5,9.3108,14.7132,24.024,0.9864,48,55.8,35.6,1.78,1.77262,4.5600000000000005,133.1196,31.38040000000001,19.1,8.480000000002974,
165.0,9.3108,14.7132,24.024,0.99,48,56.0,35.9,1.795,1.792305,4.59,133.566,31.433999999999997,19.1,10.719999999997754,
165.5,9.3108,14.7132,24.024,0.9936,48,56.2,36.2,1.81,1.80199,4.62,134.0224,31.477599999999995,19.0,8.719999999999573,
166.0,9.8664,15.5916,25.458,0.996,48,56.400000000000006,35.1,1.755,1.753145,4.510000000000001,133.246,32.75399999999999,19.7,255.27999999999906,
166.5,9.8664,15.5916,25.458,0.9984,48,56.60000000000001,35.4,1.77,1.7628300000000001,4.54,133.7036,32.796400000000006,19.7,8.480000000002974,
167.0,9.8664,15.5916,25.458,1.002,48,56.8,35.7,1.785,1.782515,4.57,134.15,32.849999999999994,19.7,10.719999999997754,
167.5,9.8664,15.5916,25.458,1.0044,48,57.0,36.0,1.8,1.7922,4.6000000000000005,134.6076,32.89240000000001,19.6,8.480000000002974,
168.0,9.8664,15.5916,25.458,1.008,48,57.2,36.3,1.815,1.8118850000000002,4.63,135.054,32.946,19.6,10.719999999997754,
168.5,9.8664,15.5916,25.458,1.0116,48,57.400000000000006,36.6,1.83,1.8215700000000001,4.66,135.5104,32.989599999999996,19.6,8.719999999999573,
169.0,9.8664,15.5916,25.458,1.014,48,57.60000000000001,36.9,1.845,1.8412549999999999,4.69,135.958,33.042,19.6,10.480000000001155,
169.5,9.8664,15.5916,25.458,1.0176,48,57.8,37.2,1.86,1.8509399999999998,4.720000000000001,136.4144,33.0856,19.5,8.719999999999573,
170.0,9.8664,15.5916,25.458,1.02,48,58.0,37.5,1.875,1.870625,4.75,136.862,33.138000000000005,19.5,10.480000000001155,
170.5,9.8664,15.5916,25.458,1.0224,48,58.2,37.8,1.89,1.88031,4.78,137.3196,33.18039999999999,19.5,8.47999999999729,
171.0,9.8664,15.5916,25.458,1.026,48,58.400000000000006,38.1,1.905,1.8999949999999999,4.8100000000000005,137.766,33.23400000000001,19.4,10.720000000003438,
171.5,9.8664,15.5916,25.458,1.0296,48,58.60000000000001,38.4,1.92,1.91968,4.84,138.2124,33.2876,19.4,10.719999999997754,
172.0,9.8664,15.5916,25.458,1.032,48,58.8,38.7,1.935,1.929365,4.87,138.67,33.33000000000001,19.4,8.480000000002974,
172.5,9.8664,15.5916,25.458,1.0344,48,59.0,39.0,1.95,1.94905,4.9,139.1176,33.38239999999999,19.4,10.47999999999547,
173.0,9.8664,15.5916,25.458,1.038,48,59.2,39.3,1.965,1.958735,4.93,139.574,33.42599999999999,19.3,8.719999999999573,
173.5,9.8664,15.5916,25.458,1.0404,48,59.400000000000006,39.6,1.98,1.97842,4.96,140.0216,33.47839999999999,19.3,10.480000000001155,
174.0,9.8664,15.5916,25.458,1.044,48,59.60000000000001,39.8,1.99,1.9882099999999998,4.9799999999999995,140.488,33.512,19.3,6.7200000000013915,
174.5,9.8664,15.5916,25.458,1.0476,48,59.8,40.1,2.005,1.997895,5.010000000000001,140.9444,33.5556,19.2,8.719999999999573,
